author,statement,source,date,target,Label
Amy Sherman,"Herschel Walker “is heavily funded by the oil and gas industry, raking in more than $140,000 in donations from Big Oil and other energy interests.""",League of Conservation Voters,"December 1, 2022",half-true,0
Laura Schulte,"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",Robin Vos,"December 1, 2022",barely-true,0
Louis Jacobson,"""I think President Trump came out four times and condemned” Nick Fuentes.",Kevin McCarthy,"November 30, 2022",false,0
Ciara O'Rourke,Country singer Jake Flint died because of the COVID-19 vaccine.,Instagram posts,"November 30, 2022",false,0
Sara Swann,Suggests virologist’s death is linked to COVID-19 vaccines.,Instagram posts,"November 30, 2022",false,0
Jill Terreri,No NASA Challenger rocket blew up with people on it.,Instagram posts,"• November 30,",pants-fire,0
Ciara O'Rourke,“Disney pushes ‘We love Satan’ in new family Christmas movie.”,Viral image,"November 30, 2022",false,0
Ciara O'Rourke,Elon Musk said he’s buying Snapchat.,Viral image,"November 30, 2022",false,0
Louis Jacobson,“Gas prices are down back to where they were before Russia invaded Ukraine.”,Joe Biden,"November 30, 2022",true,1
Madison Czopek,"“Maricopa County announced that on Election Day over 540,000 voters visited one of the 223” vote centers, but final official results data claimed that “only 248,070 people voted.”",Instagram posts,"November 30, 2022",false,0
Tom Kertscher,"“(Raphael) Warnock’s camp was shut down for failing to report five findings of child abuse and neglect.""",Herschel Walker,"November 29, 2022",half-true,0
Ciara O'Rourke,“Saudi team gets $460K Rolls-Royces for upset win.”,Viral image,"November 29, 2022",false,0
Andy Nguyen,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”,Instagram posts,"November 29, 2022",false,0
Ciara O'Rourke,"Qatar refused “to receive the German national team’s plane, which bears the gay logo, which forced them to return the plane to the airport of the Sultanate of Oman.”",Instagram posts,"November 29, 2022",false,0
Jeff Cercone,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",Instagram posts,"November 28, 2022",false,0
Maria Ramirez,The Biden administration is deporting Cubans “because Cubans by and large are conservatives.”,Instagram posts,"• November 23,",false,0
Yacob Reyes,"Suggests ""108 FIFA registered players/coaches have died"" because of COVID-19 vaccines.",Instagram posts,"November 22, 2022",false,0
Jeff Cercone,The College of Physicians and Surgeons of Ontario suggested “that ‘unvaccinated’ people are mentally ill and in need of psychiatric medication.”,TikTok posts,"November 22, 2022",false,0
Andy Nguyen,“Joe Biden is being investigated for human trafficking and is guilty.”,Instagram posts,"November 22, 2022",false,0
Amy Sherman,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Raphael Warnock,"November 22, 2022",mostly-true,0
Andy Nguyen,John Kerry at COP27 climate summit spoke about wanting to “wipe out the middle class … get you under the central banking digital currency system.”,Instagram posts,"November 22, 2022",false,0
Andy Nguyen,The Club Q shooting was a “false flag.”,Tweets,"November 22, 2022",pants-fire,0
Gabrielle Settles,Trump tweeted about his return to Twitter on Nov. 19.,Instagram posts,"November 21, 2022",pants-fire,0
Ciara O'Rourke,Video shows Arizona ballots “break chain of custody in Arizona.”,Instagram posts,"November 21, 2022",false,0
Ciara O'Rourke,The Arizona gubernatorial race was a “fraudulent election.”,Instagram posts,"November 21, 2022",pants-fire,0
Ciara O'Rourke,“Bill Gates tells G20 world leaders that ‘death panels’ will soon be required.”,Viral image,"November 21, 2022",pants-fire,0
Ciara O'Rourke,Sunny Hostin of “The View” admitted to voter fraud.,Viral image,"November 21, 2022",false,0
Jill Terreri,Increases in respiratory syncytial virus in children are linked to the COVID-19 vaccine.,Instagram posts,"• November 21,",false,0
Ciara O'Rourke,"Ballots recovered from a Santa Clara County, California, ravine are evidence of “how the left cheats to win.”",Viral image,"November 18, 2022",false,0
Ciara O'Rourke,A fake Nancy Pelosi said she won’t seek the speaker position again because the real Pelosi was arrested in 2021.,Instagram posts,"November 18, 2022",pants-fire,0
Ciara O'Rourke,The World Health Organization director general confirmed “some countries are using boosters to kill children.”,Viral image,"November 18, 2022",false,0
Ciara O'Rourke,The number of followers Katie Hobbs and Kari Lake have on Instagram suggests election fraud.,Viral image,"November 18, 2022",pants-fire,0
Gabrielle Settles,Video is evidence of a recent increase in robberies in Spain by “migrants from the Middle East and Africa.”,Instagram posts,"November 18, 2022",false,0
Tom Kertscher,"""They say the ocean will rise one-eighth of an inch over the next 200 to 300 years.""",Donald Trump,"November 17, 2022",pants-fire,0
Ciara O'Rourke,Photo shows “ballots not counted in California and this is only one polling location. Yet Gavin Newsom was declared governor minutes after polling stations closed.”,Viral image,"November 17, 2022",barely-true,0
Amy Sherman,Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”,Instagram posts,"November 17, 2022",pants-fire,0
Madison Czopek,"President Joe Biden said, “I know you all know there’s no climate problem,” proving that people have been “lying for decades” about climate change.",Instagram posts,"November 17, 2022",false,0
Amy Sherman,“Republicans want to raise the voting to age 28.”,Sunny Hostin,"November 17, 2022",false,0
Ciara O'Rourke,“European royals killing naked children for fun at hunting parties.”,Viral image,"November 17, 2022",pants-fire,0
Ciara O'Rourke,Photo shows Jeff Bezos’s clone.,Viral image,"November 17, 2022",pants-fire,0
Tom Kertscher,"Raphael Warnock ""believes in no cash bail"" and ""letting people out of prison that are going to make us prisoners in our own home.""",Herschel Walker,"November 17, 2022",barely-true,0
Ciara O'Rourke,“Biden ‘child porn’ shock” headline was “front page news in Australia.”,Viral image,"November 17, 2022",false,0
Ciara O'Rourke,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”,Viral image,"November 16, 2022",pants-fire,0
Madison Czopek,It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.,Instagram posts,"November 16, 2022",false,0
Jeff Cercone,A livestream failing in Nevada is “one of the ways blue states steal elections.”,Instagram posts,"November 16, 2022",false,0
Ciara O'Rourke,Footage shows Dallas pollbooks fraudulently “adding hundreds of voters in real time as the poll was being closed.”,Instagram posts,"November 16, 2022",false,0
Ciara O'Rourke,“The CEO of FTX is the daughter of the chairman of the SEC.”,Viral image,"November 16, 2022",false,0
Gabrielle Settles,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,"November 16, 2022",pants-fire,0
Ciara O'Rourke,Split election results show the Arizona governor’s race was rigged.,Instagram posts,"November 16, 2022",pants-fire,0
Jeff Cercone,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,Instagram posts,"November 15, 2022",false,0
Maria Ramirez,"“Iran sentences 15,000 protesters to death.”",Instagram posts,"• November 15,",false,0
Ciara O'Rourke,Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”,Viral image,"November 15, 2022",pants-fire,0
Ciara O'Rourke,"No, the Pennsylvania Senate race wasn’t ‘rigged’",Viral image,"November 15, 2022",pants-fire,0
Andy Nguyen,The death of a 4-year-old who appeared in vaccination campaign posters is linked to vaccines.,Instagram posts,"November 15, 2022",false,0
Chad Bradley,"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",Mark Finchem,"November 14, 2022",false,0
Ciara O'Rourke,"Maggie Hassan won “1,100 votes from town with population under 700.”",Viral image,"November 14, 2022",false,0
Yacob Reyes,"In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen.""",Donald Trump,"November 11, 2022",pants-fire,0
Ciara O'Rourke,A New York election results map is evidence of fraud.,Viral image,"November 11, 2022",false,0
Maria Ramirez,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",Donald Trump,"• November 11,",pants-fire,0
Gabrielle Settles,“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,Instagram posts,"November 11, 2022",false,0
Ciara O'Rourke,Democrats used “47 million mail-in ballots” to steal “every election in the country.”,Instagram posts,"November 11, 2022",pants-fire,0
Ciara O'Rourke,Video shows a Philadelphia poll worker committing election fraud.,Viral image,"November 11, 2022",pants-fire,0
Ciara O'Rourke,"When 36% of the vote was in, Pennsylvania gubernatorial candidate Josh Shapiro had 370,706 votes and 56.6% of the vote while Doug Mastriano had 844,669 and 41.6%.",Viral image,"November 11, 2022",false,0
Ciara O'Rourke,Image shows Arizona gubernatorial candidate and Secretary of State Katie Hobbs in the room where ballots were being counted in Maricopa County.,Viral image,"November 11, 2022",false,0
Ciara O'Rourke,Photos shows 2022 “midterm ballots in trash.”,Viral image,"November 11, 2022",pants-fire,0
Tori Gantz,"""If Arizona were a country, it’d be the eighth largest incarcerator in the world.""",Julie Gunnigle,"November 11, 2022",mostly-true,0
Andy Nguyen,"Glitches with voting in Arizona, New Jersey and Texas are proof the election is rigged.",Instagram posts,"November 11, 2022",false,0
Warren Fiske,"In his election as governor, “We won cities that no Republican had ever won.”",Glenn Youngkin,"November 11, 2022",false,0
Ciara O'Rourke,Photo shows “late-night operatives moving van-loads of suspicious ballots way after legal deadline in Detroit.”,Viral image,"November 10, 2022",false,0
Ciara O'Rourke,The number of followers John Fetterman and Mehmet Oz have on Instagram proves the Pennsylvania Senate race was illegitimate.,Instagram posts,"November 10, 2022",pants-fire,0
Ciara O'Rourke,A “dead man on the ballot” is evidence the Democrats cheated in the election.,Instagram posts,"November 10, 2022",false,0
Ciara O'Rourke,Graph shows Gretchen Whitmer stole the Michigan gubernatorial election.,Instagram posts,"November 10, 2022",pants-fire,0
Ciara O'Rourke,Map proves the Pennsylvania Senate election was rigged.,Instagram posts,"November 10, 2022",pants-fire,0
Madison Czopek,A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,Instagram posts,"November 10, 2022",false,0
Michael Majchrowicz,‘No Sharpies on ballots’ permitted for in-person voting in Illinois.,Instagram posts,"November 10, 2022",false,0
Faithlyn Graham,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,"November 10, 2022",true,1
Ciara O'Rourke,The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”,Instagram posts,"November 9, 2022",pants-fire,0
Michael Majchrowicz,Video shows a faulty New York voting machine invalidated a GOP vote in governor’s race.,Facebook posts,"November 9, 2022",false,0
Ciara O'Rourke,“Minnesota was stolen from Scott Jensen.”,Instagram posts,"November 9, 2022",pants-fire,0
Madison Czopek,"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",Instagram posts,"November 9, 2022",false,0
Ciara O'Rourke,USA Today reported that “5 children have gone missing inside a Chuck E. Cheese.”,Viral image,"November 9, 2022",pants-fire,0
Maria Ramirez,“Maricopa County intentionally reduced the polling places.”,Charlie Kirk,"• November 9,",pants-fire,0
Ciara O'Rourke,“Pennsylvania judge allows ballots to count that are received up until November 14th.”,Viral image,"November 9, 2022",pants-fire,0
Jon Greenberg,"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",Tucker Carlson,"November 9, 2022",false,0
Amy Sherman,John Fetterman “is suing for the right to cheat and steal the election.”,Instagram posts,"November 9, 2022",false,0
Tom Kertscher,"In Detroit, “people are showing up to vote only to be told, ‘sorry, you have already voted.’”",Donald Trump,"November 9, 2022",false,0
Michael Majchrowicz,Image shows that the New Mexico secretary of state counted more than 17 million registered voters in a state with a population of about 2 million.,Instagram posts,"November 8, 2022",false,0
Renee Romo,“Kari Lake is opposed to red flag laws.”,Everytown for Gun Safety,"November 8, 2022",true,1
Alexis Waiss,"The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”",Kari Lake,"November 8, 2022",false,0
Andy Nguyen,A Twitter employee was laid off after receiving a meme.,Instagram posts,"November 8, 2022",pants-fire,0
Jon Greenberg,"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",Tweets,"November 8, 2022",false,0
Gabrielle Settles,Video suggests GOP voters denied access in general election.,Instagram posts,"November 8, 2022",false,0
Michael Majchrowicz,A wax figure of Ye was removed from Madame Tussauds museum but a figure of Adolf Hitler remained.,Instagram posts,"November 8, 2022",false,0
Jill Terreri,Delayed election results are proof of fraud.,Instagram posts,"• November 8,",false,0
Sara Swann,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,"November 8, 2022",false,0
Jeff Cercone,"""They’re trying to rig the election again! Do not trust the Soros funded voting machines!!!”",Instagram posts,"November 8, 2022",false,0
Blake Farmer,"""Joe Biden and the New Left even promote surgery on teens and young adults, removing breasts and genitals.""",America First Legal,"November 8, 2022",false,0
Michael Majchrowicz,A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,Viral image,"November 8, 2022",pants-fire,0
Paul Specht,"“Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age, too.”",Senate Majority PAC,"November 7, 2022",half-true,0
Tom Kertscher,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Liquid Death,"November 7, 2022",true,1
Yacob Reyes,"Sen. Marco Rubio ""helped write the law to raise prescription prices.""",Val Demings,"November 7, 2022",mostly-true,0
Michael Majchrowicz,“DISGRUNTLED EX-EMPLOYEE? Twitter CEO Elon Musk's account is presently suspended.”,Instagram posts,"November 7, 2022",pants-fire,0
Kristin Hugo,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,"November 7, 2022",false,0
Gabrielle Settles,California’s Proposition 1 includes “a right to abortion up-to-birth.”,Instagram posts,"November 7, 2022",barely-true,0
Michael Majchrowicz,"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",Donald Trump,"November 7, 2022",pants-fire,0
Andy Nguyen,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,"November 7, 2022",false,0
Jill Terreri,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more.",Kathy Hochul,"• November 5,",mostly-true,0
Tom Kertscher,"“Kamala Harris said disaster aid should go to non-white citizens first.""",America First Legal,"November 5, 2022",false,0
Ciara O'Rourke,The attack on Paul Pelosi was a “false flag.”,Instagram posts,"November 5, 2022",pants-fire,0
Michael Majchrowicz,"Photo shows Stanford scientists' ""3D model of how Joseph, the husband of Mary the Mother of Jesus Christ, might have looked.”",Instagram posts,"November 4, 2022",false,0
Jami Martin-Trainor,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Ashley Hinson,"November 4, 2022",true,1
Michael Majchrowicz,"Speaker Nancy Pelosi held a T-shirt that reads, “I’m proud of my gay husband.”",Viral image,"November 4, 2022",pants-fire,0
Ciara O'Rourke,Brazil’s presidential election was “stolen.”,Instagram posts,"November 4, 2022",false,0
Amy Sherman,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,"November 4, 2022",false,0
Louis Jacobson,The U.S. “could easily count every vote in every state on election night until a few years ago.”,Instagram posts,"November 4, 2022",barely-true,0
Ciara O'Rourke,“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”,Instagram posts,"November 4, 2022",pants-fire,0
Ciara O'Rourke,The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren’t sticking to Nancy Pelosi’s talking points.,Viral image,"November 4, 2022",false,0
Luiz Romero,"Brazil President Jair Bolsonaro will hold a press conference to “announce military audit of controversial election, may arrest criminal judges.”",Instagram posts,"November 4, 2022",false,0
Chad Bradley,David Schweikert has “been convicted of 11 House ethics violations.”,Jevin Hodge,"November 4, 2022",true,1
Warren Fiske,They were “never my comments” that a woman can’t get pregnant from rape.,Yesli Vega,"November 4, 2022",half-true,0
Amy Sherman,“Two thirds of eligible voters don’t vote.”,Instagram posts,"November 4, 2022",false,0
Madeline Heim,"Tony Evers “wants to let out between 9,000 and 10,000 more” Wisconsin prisoners",Tim Michels,"November 4, 2022",false,0
Amy Sherman,“Pennsylvania is under a court order to count their ballots on election day and not after!!”,Facebook posts,"November 3, 2022",pants-fire,0
Maria Ramirez,“Biden and Democrats have dismantled border security.”,Adam Laxalt,"• November 3,",false,0
Alexis Waiss,Katie Hobbs “has voted to double our gas tax.”,Kari Lake,"November 3, 2022",mostly-true,0
Ciara O'Rourke,Reuters reported that Nancy Pelosi bought 10 million shares of cannabis stock.,Viral image,"November 3, 2022",false,0
Yacob Reyes,"It's not true that ""the United States was built on stolen land.""",Ron DeSantis,"November 3, 2022",pants-fire,0
Ciara O'Rourke,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,Viral image,"November 3, 2022",false,0
Michael Majchrowicz,“Freedom of Information Act requests show a dozen phone calls between the cell phone of Ray Epps and the office of Speaker Pelosi in the week before #January6th”,Instagram posts,"November 3, 2022",false,0
Amy Sherman,"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”",Donald Trump,"November 3, 2022",false,0
Michael Majchrowicz,"Australian officials “are giving cows mRNA vaccines.""",Instagram posts,"November 3, 2022",false,0
Michael Majchrowicz,Thunderous crowd at Philadelphia Phillies game “literally registering on the Penn State University Brandywine seismograph station.”,Tweets,"November 3, 2022",pants-fire,0
Ciara O'Rourke,CNN reported Donald Trump died on Nov. 1.,Viral image,"November 3, 2022",pants-fire,0
Jon Greenberg,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,"November 3, 2022",false,0
Louis Jacobson,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",Citizens for Sanity,"November 3, 2022",pants-fire,0
D.L. Davis,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,"November 3, 2022",mostly-true,0
Ciara O'Rourke,“Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.”,Viral image,"November 3, 2022",pants-fire,0
Ciara O'Rourke,“Leaked audio tape of the 911 call from the Paul Pelosi attack has surfaced. The call proves that the liberal media has lied about what really happened.”,Viral image,"November 3, 2022",false,0
Tom Kertscher,"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""",Georgia Gun Owners,"November 3, 2022",pants-fire,0
Sydney Carruth,“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,Kris Mayes,"November 2, 2022",barely-true,0
Alexis Waiss,"Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”",Kris Mayes,"November 2, 2022",half-true,0
Haley Tenore,"Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",Kari Lake,"November 2, 2022",false,0
Michael Majchrowicz,Julie Powell died from the COVID-19 vaccine.,Instagram posts,"November 2, 2022",false,0
Louis Jacobson,"""On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.""",Joe Biden,"November 2, 2022",pants-fire,0
Andy Nguyen,"""PayPal has reinstated its policy to fine users $2,500 directly from their accounts if they spread 'misinformation.'""",Instagram posts,"November 2, 2022",false,0
Ciara O'Rourke,“Two far-right websites attributed to David DePape to smear conservatives were fabricated — they were created Friday.”,Viral image,"November 2, 2022",pants-fire,0
Ciara O'Rourke,Bill Gates’ daughters aren’t vaccinated.,Viral image,"November 2, 2022",pants-fire,0
Ciara O'Rourke,"David DePape “stripped down to his underwear, grabbed a hammer, and jogged all the way to Nancy Pelosi’s house.”",Viral image,"November 2, 2022",false,0
Ciara O'Rourke,House Speaker Nancy Pelosi “doesn’t even have surveillance cameras around her house.”,Viral image,"November 2, 2022",pants-fire,0
Dave Boucher,"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent""",Citizens to Support MI Women & Children,"November 2, 2022",false,0
Gabrielle Settles,"At the Pelosi house, “the glass it seems was broken from the inside to the out, so it wasn’t a break-in, it was a breakout.”",Donald Trump,"November 2, 2022",pants-fire,0
Warren Fiske,“I don’t get involved in the hiring and firing of police chiefs.”,Levar Stoney,"November 2, 2022",false,0
Maria Ramirez,“Marco Rubio le ha votado en contra a los Dreamers”.,Florida Immigrant Coalition,"• November 1,",half-true,0
Amy Sherman,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,"November 1, 2022",mostly-true,0
Ciara O'Rourke,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,Instagram posts,"November 1, 2022",pants-fire,0
Tom Kertscher,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""",Liz Cheney,"November 1, 2022",mostly-true,0
Ciara O'Rourke,"Security cameras at Nancy Pelosi’s San Francisco home malfunctioned “for the duration of the break-in, so officials have ended their investigation.”",Viral image,"November 1, 2022",pants-fire,0
Michael Majchrowicz,"“If outer space was a vacuum, astronauts would train in vacuum chambers. Not in swimming pools. Outer Space is a hoax.”",Instagram posts,"November 1, 2022",pants-fire,0
Lawrence Andrea,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,"November 1, 2022",barely-true,0
Tom Kertscher,"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""",Maggie Hassan,"November 1, 2022",mostly-true,0
Sara Swann,Document shows Rebekah Jones “demonstrated” a violation of Florida’s Whistleblower Act.,Rebekah Jones,"November 1, 2022",false,0
Andy Nguyen,"“If you use the US Postal Service certified mail or registered mail, they can do anything they want with those ballots."" They “can burn your mail and they won't get in any trouble.”",Instagram posts,"October 31, 2022",pants-fire,0
Ciara O'Rourke,A photo shows David DePape filming the Jan. 6 Capitol attack.,Viral image,"October 31, 2022",false,0
Michael Majchrowicz,"California state Sen. Scott Wiener “doesn’t just want to sterilize California kids, but sterilization of kids everywhere!”",Instagram posts,"October 31, 2022",false,0
Ciara O'Rourke,Hecklers chanted “f--- Joe Biden” during a Barack Obama speech.,Viral image,"October 31, 2022",false,0
Ciara O'Rourke,The Pelosis “are refusing to turn over surveillance video of their home.”,Viral image,"October 31, 2022",false,0
Gabrielle Settles,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,"October 31, 2022",false,0
Ciara O'Rourke,Video shows “military robots ready for war.”,Viral image,"October 31, 2022",false,0
Louis Jacobson,“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,Rick Scott,"October 31, 2022",false,0
Paul Specht,"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",Senate Leadership Fund,"October 31, 2022",barely-true,0
Liam Halawith,"""Kim Reynolds doesn’t think nurses are educated.""",Deidre DeJear,"October 31, 2022",false,0
Liam Halawith,"""Deidre DeJear refused to stand for police.""",Kim Reynolds,"October 31, 2022",half-true,0
Ben Wells,"Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”",National Rifle Association,"October 31, 2022",barely-true,0
Amy Sherman,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,J.D. Vance,"October 31, 2022",pants-fire,0
Madison Czopek,Pennsylvania drop boxes were “pre-loaded” with ballots.,Instagram posts,"October 28, 2022",half-true,0
Gabrielle Settles,"Arizona Secretary of State Katie Hobbs “sent 6,000 wrong ballots to Republicans.”",Instagram posts,"October 28, 2022",false,0
Andy Nguyen,McDonald's uses potatoes sprayed with a highly toxic pesticide called Monitor.,Instagram posts,"October 28, 2022",false,0
Ciara O'Rourke,Facebook changed its name because it is a “dead entity” whose assets were seized.,Viral image,"October 28, 2022",false,0
Renee Romo,“Kids are resistant to COVID as opposed to older people.”,Tom Horne,"October 28, 2022",half-true,0
Yacob Reyes,"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",Charlie Crist,"October 28, 2022",barely-true,0
Louis Jacobson,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,"October 28, 2022",barely-true,0
Louis Jacobson,The price of gas is “down from over $5 when I took office.”,Joe Biden,"October 28, 2022",false,0
Jon Greenberg,Blake Masters “wants to privatize” Social Security.,Mark Kelly,"October 28, 2022",barely-true,0
Madison Czopek,"“It’s not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.”",Instagram posts,"October 28, 2022",false,0
Ciara O'Rourke,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,Viral image,"October 28, 2022",false,0
Jon Greenberg,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,"October 28, 2022",false,0
Ciara O'Rourke,A Phoenix TV station aired the election results more than a week early.,Instagram posts,"October 28, 2022",half-true,0
Andy Nguyen,"Connecticut ballot initiative on early voting would ""remove the requirement of a certified seal from certain ballots.""",Facebook posts,"October 27, 2022",false,0
Ciara O'Rourke,DJ Mighty Mouse died because of a COVID-19 booster vaccine.,Instagram posts,"October 27, 2022",false,0
Ciara O'Rourke,Photo shows a man who tortured his daughter’s rapist.,Viral image,"October 27, 2022",false,0
Ciara O'Rourke,“PCR tests used to put luciferase in the brain.”,Viral image,"October 27, 2022",false,0
Tom Kertscher,"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.",Club for Growth Action,"October 27, 2022",barely-true,0
Jeff Cercone,Proposed Senate bill would give FDA power to approve dietary supplements and “ban herbs.”,Instagram posts,"October 27, 2022",false,0
Ciara O'Rourke,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",Viral image,"October 27, 2022",false,0
Ciara O'Rourke,The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,Instagram posts,"October 27, 2022",false,0
Madison Czopek,"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",Instagram posts,"October 27, 2022",barely-true,0
Michael Majchrowicz,"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",Instagram posts,"October 27, 2022",pants-fire,0
Emily Oiler,“Carol Miller is a multi-millionaire worth over $16 million.”,West Virginia Democratic Party,"October 27, 2022",mostly-true,0
Andy Nguyen,Mailing in a ballot “gives the bad guys a chance to know how many ballots they need to make.”,Instagram posts,"October 27, 2022",pants-fire,0
Luiz Romero,“Ukraine has a nuclear bomb primed in Mykolaiv.”,Instagram posts,"October 27, 2022",false,0
Maria Ramirez,Adam Laxalt is “anti-DACA” and “fought against the protections for DACA recipients when he was attorney general.”,Catherine Cortez Masto,"• October 26,",half-true,0
Madison Czopek,Ballots are “mailed unconstitutionally” to every voter in Colorado.,Instagram posts,"October 26, 2022",false,0
Ciara O'Rourke,Video clips show staged war footage from Ukraine.,Viral image,"October 26, 2022",pants-fire,0
Andy Nguyen,The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”,Dan Bongino,"October 26, 2022",false,0
Jeff Cercone,Today’s high food prices were planned during a 2015 food shortage simulation.,Instagram posts,"October 26, 2022",pants-fire,0
Gabrielle Settles,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,"October 26, 2022",pants-fire,0
Ciara O'Rourke,A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”,Instagram posts,"October 25, 2022",false,0
Yacob Reyes,"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",Marco Rubio,"October 25, 2022",barely-true,0
Paul Specht,Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,Ted Budd,"October 25, 2022",false,0
Amy Sherman,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",Instagram posts,"October 25, 2022",pants-fire,0
Louis Jacobson,Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,Joe Biden,"October 25, 2022",false,0
Ciara O'Rourke,Video shows paratroopers crashing in Uganda.,Instagram posts,"October 25, 2022",false,0
